UPC,Item
8901120011728,Moxazyd Oral 14 Cápsulas Caja - Clorhidrato de atomoxetina 10 MG
7501109929368,Invokana DUO 60 Tabletas Frasco - Hemihidrato de canagliflozina 150 MG Metformina 1000 MG
7506442701527,Elunei 28 Tabletas Caja - Lacosamida 100 MG
7506442701558,Elunei 14 Tabletas Caja - Lacosamida 50 MG
7501384503055,Tradea 60 Tabletas Caja - Clorhidrato de metilfenidato 10 MG
7501384544164,Selective Dúo Pack 28 Tableta Paquete - Escitalopram 10 MG
7501384503048,Tradea 30 Tabletas Caja - Clorhidrato de metilfenidato 10 MG
7501088505928,Aytugre NS para inhalación 120 ML Suspensión Atomizador - Fluticasona 0.5 MG
7501384544157,Selective Dúo Pack 14 Tabletas Paquete - Escitalopram 10 MG
8904091121793,Misdapre Rac 28 Tableta Frasco - Montelukast 10 MG Levocetirizina 5 MG
8904091121786,Misdapre Rac 14 Tabletas Frasco - Montelukast 10 MG Levocetirizina 5 MG
7501124182106,Execut 25 Tabletas Caja - Clorhidrato de hidroxizina 25 MG
7501124181949,Execut 30 Tabletas Caja - Clorhidrato de hidroxizina 10 MG
8904091184712,Mizraba Para inhalación 200 ML Aerosol Frasco - Beclometasona 250 MCG
3662042003240,Hyabak 10 ML Solución Gotero - Hialuronato de sodio 0.15 %
7501125154621,Lamobrigan 28 Tabletas Caja - Escitalopram 10 MG
7501249605436,Farmapram 30 Tabletas Frasco - Alprazolam 2 MG
7501249605429,Farmapram 90 Tabletas Caja - Alprazolam 1 MG
